Epoch,Train_Acc,Train_Prec,Train_F1,Test_Acc,Test_Prec,Test_F1
1,0.88075,0.8075060248374939,0.8935030102729797,0.8725,0.7948511838912964,0.8857014775276184
2,0.981125,1.0,0.9807716608047485,0.9735,1.0,0.9724388718605042
3,0.943125,1.0,0.9397271275520325,0.928,1.0,0.9213973879814148
4,0.99175,1.0,0.9916855692863464,0.987,1.0,0.9866666793823242
5,0.96825,1.0,0.9672257900238037,0.9585,1.0,0.9561542272567749
6,0.981625,0.9645697474479675,0.9819654226303101,0.985,0.9705304503440857,0.9850448369979858
7,0.994125,1.0,0.9940932393074036,0.992,1.0,0.9918367266654968
8,0.978,0.957874596118927,0.9784840941429138,0.9825,0.965786874294281,0.9825957417488098
9,0.963125,1.0,0.9617330431938171,0.9535,1.0,0.9506107568740845
10,0.93875,0.890917181968689,0.9423122406005859,0.939,0.8900901079177856,0.9418493509292603
