Epoch,Train_Acc,Train_Prec,Train_F1,Test_Acc,Test_Prec,Test_F1
1,0.91075,0.8501888513565063,0.9190292358398438,0.908,0.8467943668365479,0.9170423746109009
2,0.98325,0.9679885506629944,0.9837338924407959,0.9855,0.9722753167152405,0.9859427809715271
3,0.962125,0.9304248094558716,0.9639586210250854,0.9635,0.9330275058746338,0.9653536081314087
4,0.94875,0.9082959890365601,0.9518327116966248,0.951,0.9121076464653015,0.9540337920188904
5,0.949125,1.0,0.9471222758293152,0.954,1.0,0.9526261687278748
6,0.966625,1.0,0.9659308195114136,0.968,1.0,0.9675126671791077
7,0.974375,1.0,0.9740473628044128,0.9735,1.0,0.9732458591461182
8,0.948125,0.9070965051651001,0.9512853622436523,0.9535,0.9162161946296692,0.9562764167785645
9,0.979875,1.0,0.9797306060791016,0.977,1.0,0.9768611788749695
10,0.963375,0.9325661659240723,0.9651066064834595,0.9655,0.9364640712738037,0.9671897292137146
