Epoch,Train_Acc,Train_Prec,Train_F1,Test_Acc,Test_Prec,Test_F1
1,0.70925,1.0,0.11626140028238297,0.696,1.0,0.1314285695552826
2,0.89625,0.9687322378158569,0.8041529059410095,0.8975,0.9827957153320312,0.8168007135391235
3,0.97225,0.9634497165679932,0.9548229575157166,0.9655,0.9650238752365112,0.946219801902771
4,0.94375,0.8744924068450928,0.913261353969574,0.94,0.8771186470985413,0.9118942618370056
5,0.976875,0.9724052548408508,0.9622987508773804,0.974,0.9747633934020996,0.9596273303031921
6,0.994125,0.9856230020523071,0.9905679225921631,0.9965,0.9908952713012695,0.99466872215271
7,0.9465,0.9563862681388855,0.9094371795654297,0.9445,0.9609507918357849,0.9106999039649963
8,0.95325,0.9558250308036804,0.9218880534172058,0.952,0.9619205594062805,0.9236884117126465
9,0.979375,0.9569510221481323,0.9670724272727966,0.98,0.9651514887809753,0.969558596611023
10,0.96975,0.9639154076576233,0.9505112767219543,0.971,0.9745222926139832,0.9547581672668457
