1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"tensor([0.4315, 0.0757, 0.0977, 0.2527, 0.0649, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4381, 0.0769, 0.0992, 0.2413, 0.0659, 0.0786])",,,,,,,,,,,,,,,,,,
"tensor([0.4255, 0.0747, 0.0964, 0.2631, 0.0640, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4337, 0.0761, 0.0982, 0.2489, 0.0652, 0.0778])",,,,,,,,,,,,,,,,,,
"tensor([0.4333, 0.0760, 0.0981, 0.2496, 0.0652, 0.0777])",,,,,,,,,,,,,,,,,,
"tensor([0.4245, 0.0745, 0.0961, 0.2649, 0.0638, 0.0761])",,,,,,,,,,,,,,,,,,
"tensor([0.4373, 0.0767, 0.0990, 0.2427, 0.0658, 0.0785])",,,,,,,,,,,,,,,,,,
"tensor([0.4320, 0.0758, 0.0978, 0.2519, 0.0650, 0.0775])",,,,,,,,,,,,,,,,,,
"tensor([0.4209, 0.0739, 0.0953, 0.2712, 0.0633, 0.0755])",,,,,,,,,,,,,,,,,,
"tensor([0.4337, 0.0761, 0.0982, 0.2489, 0.0652, 0.0778])",,,,,,,,,,,,,,,,,,
"tensor([0.4312, 0.0757, 0.0977, 0.2532, 0.0649, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4271, 0.0749, 0.0967, 0.2605, 0.0642, 0.0766])",,,,,,,,,,,,,,,,,,
"tensor([0.4281, 0.0751, 0.0969, 0.2587, 0.0644, 0.0768])",,,,,,,,,,,,,,,,,,
"tensor([0.4366, 0.0766, 0.0989, 0.2439, 0.0657, 0.0784])",,,,,,,,,,,,,,,,,,
"tensor([0.4234, 0.0743, 0.0959, 0.2668, 0.0637, 0.0760])",,,,,,,,,,,,,,,,,,
"tensor([0.4256, 0.0747, 0.0964, 0.2631, 0.0640, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4309, 0.0756, 0.0976, 0.2538, 0.0648, 0.0773])",,,,,,,,,,,,,,,,,,
"tensor([0.4265, 0.0748, 0.0966, 0.2614, 0.0641, 0.0765])",,,,,,,,,,,,,,,,,,
"tensor([0.4341, 0.0762, 0.0983, 0.2483, 0.0653, 0.0779])",,,,,,,,,,,,,,,,,,
"tensor([0.4292, 0.0753, 0.0972, 0.2568, 0.0645, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4252, 0.0746, 0.0963, 0.2637, 0.0639, 0.0763])",,,,,,,,,,,,,,,,,,
"tensor([0.4292, 0.0753, 0.0972, 0.2568, 0.0645, 0.0770])",,,,,,,,,,,,,,,,,,
"tensor([0.4267, 0.0749, 0.0966, 0.2611, 0.0642, 0.0765])",,,,,,,,,,,,,,,,,,
"tensor([0.4327, 0.0759, 0.0980, 0.2507, 0.0651, 0.0777])",,,,,,,,,,,,,,,,,,
"tensor([0.4362, 0.0765, 0.0988, 0.2446, 0.0656, 0.0782])",,,,,,,,,,,,,,,,,,
"tensor([0.4310, 0.0756, 0.0976, 0.2536, 0.0648, 0.0773])",,,,,,,,,,,,,,,,,,
"tensor([0.4327, 0.0759, 0.0980, 0.2507, 0.0651, 0.0777])",,,,,,,,,,,,,,,,,,
"tensor([0.4265, 0.0748, 0.0966, 0.2613, 0.0641, 0.0765])",,,,,,,,,,,,,,,,,,
"tensor([0.4328, 0.0759, 0.0980, 0.2506, 0.0651, 0.0776])",,,,,,,,,,,,,,,,,,
"tensor([0.4354, 0.0764, 0.0986, 0.2460, 0.0655, 0.0781])",,,,,,,,,,,,,,,,,,
"tensor([0.4280, 0.0751, 0.0969, 0.2588, 0.0644, 0.0768])",,,,,,,,,,,,,,,,,,
"tensor([0.4343, 0.0762, 0.0984, 0.2479, 0.0653, 0.0780])",,,,,,,,,,,,,,,,,,
"tensor([0.4317, 0.0758, 0.0978, 0.2524, 0.0649, 0.0774])",,,,,,,,,,,,,,,,,,
"tensor([0.4297, 0.0754, 0.0973, 0.2558, 0.0646, 0.0771])",,,,,,,,,,,,,,,,,,
"tensor([0.4202, 0.0737, 0.0951, 0.2724, 0.0632, 0.0754])",,,,,,,,,,,,,,,,,,
"tensor([0.4246, 0.0745, 0.0962, 0.2646, 0.0639, 0.0762])",,,,,,,,,,,,,,,,,,
"tensor([0.4286, 0.0752, 0.0971, 0.2577, 0.0645, 0.0769])",,,,,,,,,,,,,,,,,,
"tensor([0.4431, 0.0778, 0.1003, 0.2327, 0.0666, 0.0795])",,,,,,,,,,,,,,,,,,
"tensor([0.4246, 0.0745, 0.0962, 0.2647, 0.0638, 0.0762])",,,,,,,,,,,,,,,,,,
"tensor([0.4160, 0.0730, 0.0942, 0.2795, 0.0626, 0.0747])",,,,,,,,,,,,,,,,,,
"tensor([0.4351, 0.0763, 0.0985, 0.2466, 0.0654, 0.0781])",,,,,,,,,,,,,,,,,,
"tensor([0.4278, 0.0751, 0.0969, 0.2591, 0.0643, 0.0767])",,,,,,,,,,,,,,,,,,
"tensor([0.4286, 0.0752, 0.0971, 0.2579, 0.0644, 0.0768])",,,,,,,,,,,,,,,,,,
"tensor([0.4416, 0.0775, 0.1000, 0.2353, 0.0664, 0.0792])",,,,,,,,,,,,,,,,,,
"tensor([0.4275, 0.0750, 0.0968, 0.2597, 0.0643, 0.0767])",,,,,,,,,,,,,,,,,,
"tensor([0.4371, 0.0767, 0.0990, 0.2430, 0.0657, 0.0784])",,,,,,,,,,,,,,,,,,
"tensor([0.4365, 0.0766, 0.0989, 0.2441, 0.0656, 0.0783])",,,,,,,,,,,,,,,,,,
,"tensor([0.4655, 0.0701, 0.0804, 0.2488, 0.0656, 0.0695])",,,,,,,,,,,,,,,,,
,"tensor([0.4806, 0.0724, 0.0830, 0.2246, 0.0677, 0.0717])",,,,,,,,,,,,,,,,,
,"tensor([0.4619, 0.0696, 0.0798, 0.2547, 0.0651, 0.0689])",,,,,,,,,,,,,,,,,
,"tensor([0.4611, 0.0695, 0.0797, 0.2560, 0.0650, 0.0688])",,,,,,,,,,,,,,,,,
,"tensor([0.4842, 0.0729, 0.0836, 0.2188, 0.0682, 0.0722])",,,,,,,,,,,,,,,,,
,"tensor([0.4695, 0.0707, 0.0811, 0.2424, 0.0662, 0.0701])",,,,,,,,,,,,,,,,,
,"tensor([0.4523, 0.0681, 0.0781, 0.2703, 0.0637, 0.0675])",,,,,,,,,,,,,,,,,
,"tensor([0.4621, 0.0696, 0.0798, 0.2544, 0.0651, 0.0689])",,,,,,,,,,,,,,,,,
,"tensor([0.4970, 0.0749, 0.0859, 0.1981, 0.0700, 0.0741])",,,,,,,,,,,,,,,,,
,"tensor([0.4762, 0.0718, 0.0823, 0.2316, 0.0671, 0.0711])",,,,,,,,,,,,,,,,,
,"tensor([0.4633, 0.0698, 0.0800, 0.2524, 0.0653, 0.0691])",,,,,,,,,,,,,,,,,
,"tensor([0.4802, 0.0724, 0.0830, 0.2251, 0.0677, 0.0717])",,,,,,,,,,,,,,,,,
,"tensor([0.4603, 0.0693, 0.0795, 0.2573, 0.0649, 0.0687])",,,,,,,,,,,,,,,,,
,"tensor([0.4605, 0.0694, 0.0795, 0.2570, 0.0649, 0.0687])",,,,,,,,,,,,,,,,,
,"tensor([0.4678, 0.0705, 0.0808, 0.2452, 0.0659, 0.0698])",,,,,,,,,,,,,,,,,
,"tensor([0.4681, 0.0705, 0.0809, 0.2447, 0.0660, 0.0698])",,,,,,,,,,,,,,,,,
,"tensor([0.4756, 0.0717, 0.0822, 0.2326, 0.0670, 0.0710])",,,,,,,,,,,,,,,,,
,"tensor([0.4733, 0.0713, 0.0818, 0.2363, 0.0667, 0.0706])",,,,,,,,,,,,,,,,,
,"tensor([0.4624, 0.0697, 0.0799, 0.2539, 0.0652, 0.0690])",,,,,,,,,,,,,,,,,
,"tensor([0.4728, 0.0712, 0.0817, 0.2371, 0.0666, 0.0705])",,,,,,,,,,,,,,,,,
,"tensor([0.4612, 0.0695, 0.0797, 0.2558, 0.0650, 0.0688])",,,,,,,,,,,,,,,,,
,"tensor([0.4713, 0.0710, 0.0814, 0.2395, 0.0664, 0.0703])",,,,,,,,,,,,,,,,,
,"tensor([0.4695, 0.0707, 0.0811, 0.2425, 0.0662, 0.0700])",,,,,,,,,,,,,,,,,
,"tensor([0.4609, 0.0694, 0.0796, 0.2564, 0.0650, 0.0688])",,,,,,,,,,,,,,,,,
,"tensor([0.4732, 0.0713, 0.0817, 0.2364, 0.0667, 0.0706])",,,,,,,,,,,,,,,,,
,"tensor([0.4711, 0.0710, 0.0814, 0.2399, 0.0664, 0.0703])",,,,,,,,,,,,,,,,,
,"tensor([0.4680, 0.0705, 0.0809, 0.2448, 0.0660, 0.0698])",,,,,,,,,,,,,,,,,
,"tensor([0.4776, 0.0720, 0.0825, 0.2294, 0.0673, 0.0712])",,,,,,,,,,,,,,,,,
,"tensor([0.4865, 0.0733, 0.0840, 0.2150, 0.0686, 0.0726])",,,,,,,,,,,,,,,,,
,"tensor([0.4696, 0.0707, 0.0811, 0.2423, 0.0662, 0.0701])",,,,,,,,,,,,,,,,,
,"tensor([0.4894, 0.0737, 0.0845, 0.2104, 0.0690, 0.0730])",,,,,,,,,,,,,,,,,
,"tensor([0.4653, 0.0701, 0.0804, 0.2491, 0.0656, 0.0694])",,,,,,,,,,,,,,,,,
,"tensor([0.4695, 0.0707, 0.0811, 0.2425, 0.0662, 0.0700])",,,,,,,,,,,,,,,,,
,"tensor([0.4625, 0.0697, 0.0799, 0.2537, 0.0652, 0.0690])",,,,,,,,,,,,,,,,,
,"tensor([0.4533, 0.0683, 0.0783, 0.2686, 0.0639, 0.0676])",,,,,,,,,,,,,,,,,
,"tensor([0.4714, 0.0710, 0.0814, 0.2393, 0.0664, 0.0703])",,,,,,,,,,,,,,,,,
,"tensor([0.4617, 0.0696, 0.0798, 0.2550, 0.0651, 0.0689])",,,,,,,,,,,,,,,,,
,"tensor([0.4730, 0.0713, 0.0817, 0.2368, 0.0667, 0.0706])",,,,,,,,,,,,,,,,,
,"tensor([0.4826, 0.0727, 0.0834, 0.2212, 0.0680, 0.0720])",,,,,,,,,,,,,,,,,
,"tensor([0.4782, 0.0721, 0.0826, 0.2284, 0.0674, 0.0714])",,,,,,,,,,,,,,,,,
