1,2,3,4,5,6,7,8,9
38.863743,33.765972,33.15561,29.998991,29.51983,29.603361,29.071882,29.25395,29.320854
28.625324,32.857006,32.71654,29.996044,29.476372,29.595482,29.049515,29.22899,29.299103
13.109046,16.614199,17.918434,25.066444,25.507776,25.981672,26.022953,26.534782,26.40546
8.431591,7.559492,7.1697993,6.781222,7.482378,6.7815504,7.969168,7.0451293,7.0222855
5.48589,4.6026583,4.520063,4.080487,4.0083923,4.0205956,3.944764,3.9705477,3.9771276
5.4844074,4.600671,4.519558,4.076803,4.005247,4.0173454,3.9417093,3.9666262,3.9751647
