Epoch,Train_Acc,Train_Prec,Train_F1,Test_Acc,Test_Prec,Test_F1
1,0.7745,1.0,0.4280278980731964,0.761,1.0,0.42409637570381165
2,0.88075,1.0,0.7617382407188416,0.8785,1.0,0.7718309760093689
3,0.943,0.9926936030387878,0.8993821740150452,0.932,0.9923954606056213,0.8847457766532898
4,0.9655,0.9850286245346069,0.9418947100639343,0.959,0.9863945841789246,0.933977484703064
5,0.964125,0.9071322679519653,0.9444981813430786,0.9685,0.9251798391342163,0.9532987475395203
6,0.959,1.0,0.9291576743125916,0.954,0.9982269406318665,0.9244663119316101
7,0.943,0.865294337272644,0.9131097793579102,0.945,0.882022500038147,0.9194729328155518
8,0.988,0.9670717120170593,0.9809145331382751,0.983,0.961309552192688,0.9743589758872986
9,0.9885,0.984965443611145,0.9813765287399292,0.988,0.9937304258346558,0.9814241528511047
10,0.973375,0.9262603521347046,0.9585360884666443,0.9755,0.9390420913696289,0.963514506816864
