Epoch,Train_Acc,Train_Prec,Train_F1,Test_Acc,Test_Prec,Test_F1
1,0.643625,0.643625020980835,0.7831774353981018,0.6625,0.6625000238418579,0.7969924807548523
2,0.643625,0.643625020980835,0.7831774353981018,0.6625,0.6625000238418579,0.7969924807548523
3,0.643625,0.643625020980835,0.7831774353981018,0.6625,0.6625000238418579,0.7969924807548523
4,0.793125,0.782594621181488,0.8539405465126038,0.786,0.7840405106544495,0.852617084980011
5,0.814125,0.8388230800628662,0.8590921759605408,0.8165,0.8511730432510376,0.8635180592536926
6,0.82275,0.8492791652679443,0.8648236393928528,0.816,0.8568232655525208,0.8619654774665833
7,0.820125,0.8289006948471069,0.8666234016418457,0.82,0.8357689380645752,0.8696596622467041
8,0.819875,0.8646734952926636,0.8591811060905457,0.8145,0.870917558670044,0.8579088449478149
9,0.820125,0.8502643704414368,0.8622307181358337,0.8205,0.8599106073379517,0.8653918504714966
10,0.8025,0.8530167937278748,0.8451587557792664,0.801,0.8584686517715454,0.8479755520820618
