1,2,3,4,5,6,7,8,9
0.3881147,0.3347478,0.33297864,0.30002305,0.29031214,0.29810864,0.2914074,0.2920699,0.29059055
0.2858679,0.3257365,0.32856968,0.29999346,0.28988448,0.2980292,0.29118362,0.29182106,0.29037493
0.1309141,0.16470943,0.17995346,0.25069237,0.25085545,0.26163766,0.26084623,0.2649218,0.26169708
0.085437484,0.08361805,0.067722514,0.067743614,0.090170376,0.061315507,0.077539004,0.07198308,0.078533
0.054878205,0.045593977,0.04538853,0.040781572,0.039388537,0.040454455,0.039513372,0.03960237,0.039407715
0.05478832,0.045594018,0.045386754,0.040765446,0.039388366,0.040454406,0.03951007,0.039602213,0.03939667
0.38896292,0.3384677,0.33416745,0.29944482,0.29493538,0.29600593,0.29312977,0.28889504,0.29489815
0.28649297,0.32935628,0.32974193,0.29941523,0.29450062,0.29592782,0.29290444,0.2886487,0.2946794
0.1312003,0.1665394,0.1805957,0.25020874,0.25485015,0.2597928,0.26238823,0.26204258,0.26557612
0.083577916,0.07325816,0.06439602,0.069289625,0.07565829,0.06793476,0.07209008,0.082047924,0.06488475
0.05489676,0.046279285,0.04554996,0.040740777,0.040040474,0.040169075,0.0397439,0.039194055,0.039980724
0.054868694,0.04610012,0.0455489,0.04090003,0.040015586,0.04016957,0.039743647,0.039171826,0.039980672
0.38673556,0.3400415,0.33443567,0.29910898,0.29383105,0.29332215,0.2900372,0.29206243,0.2934185
0.28485188,0.33088812,0.330007,0.2990794,0.29339817,0.29324394,0.28981397,0.29181272,0.2932009
0.1304487,0.16731378,0.18074062,0.24992822,0.2538964,0.25743687,0.25961965,0.2649147,0.2642436
0.08884997,0.06911443,0.063644476,0.07058411,0.07914261,0.07638718,0.081880465,0.07200086,0.069577225
0.054555275,0.04632572,0.04558704,0.040657908,0.03986585,0.039805125,0.039324425,0.039608274,0.039780483
0.054558583,0.04631642,0.04558528,0.04064121,0.03986582,0.039804906,0.039324284,0.03960127,0.039780024
0.38640875,0.3365009,0.32977167,0.29925415,0.29270938,0.29510567,0.2938214,0.29081577,0.29270056
0.2846121,0.32744217,0.32540473,0.29922456,0.29227832,0.29502776,0.29359564,0.29056767,0.29248327
0.13033892,0.1655717,0.1782199,0.25005007,0.2529267,0.25900277,0.26300707,0.2637844,0.26359722
0.089614384,0.07881542,0.07638594,0.06871218,0.082633145,0.07076111,0.06990047,0.07596839,0.07185299
0.054515976,0.045834042,0.045267586,0.042096943,0.0397386,0.040055446,0.03983753,0.039432593,0.03968278
0.05451012,0.045835752,0.04494967,0.040661305,0.039713822,0.040047422,0.039837394,0.039432198,0.03968277
0.3899961,0.33851853,0.3312292,0.30028996,0.29606646,0.2966848,0.29204592,0.2954665,0.2892981
0.2872539,0.32940534,0.326843,0.30026022,0.29563043,0.2966056,0.29182136,0.29521483,0.2890835
0.1315488,0.16656463,0.17900768,0.25091478,0.25582793,0.26038778,0.26141733,0.26800326,0.26053303
0.081036344,0.07325997,0.07262282,0.06693076,0.072133094,0.06577776,0.07552158,0.061189402,0.08264302
